Date,Kunjungan
01-2017,1107968
02-2017,1023388
03-2017,1059777
04-2017,1171386
05-2017,1148588
06-2017,1144001
07-2017,1370591
08-2017,1393243
09-2017,1250231
10-2017,1161565
11-2017,1062030
12-2017,1147031
01-2018,1097839
02-2018,1197503
03-2018,1363426
04-2018,1302321
05-2018,1242705
06-2018,1322674
07-2018,1547231
08-2018,1511021
09-2018,1370943
10-2018,1291605
11-2018,1157483
12-2018,1405554
01-2019,1201735
02-2019,1243996
03-2019,1311911
04-2019,1274231
05-2019,1249536
06-2019,1434103
07-2019,1468173
08-2019,1530268
09-2019,1388719
10-2019,1346434
11-2019,1280781
12-2019,1377067
01-2020,1290411
02-2020,872765
03-2020,486155
04-2020,158066
05-2020,161842
06-2020,156561
07-2020,155742
08-2020,161549
09-2020,148984
10-2020,152293
11-2020,144476
12-2020,164079
01-2021,126515
02-2021,105788
03-2021,119979
04-2021,112756
05-2021,139433
06-2021,126844
07-2021,127249
08-2021,118533
09-2021,120100
10-2021,146137
11-2021,150577
12-2021,163619
01-2022,136298
02-2022,117509
03-2022,158629
04-2022,230076
05-2022,354920
06-2022,483883
07-2022,645121
08-2022,670509
09-2022,700606
10-2022,734228
11-2022,704783
12-2022,952469
01-2023,798469
02-2023,749436
03-2023,869244
04-2023,865811
05-2023,953714
06-2023,1062791
07-2023,1121189
08-2023,1132638
09-2023,1070245
10-2023,978519
11-2023,931227
12-2023,1144542